path_x; path_z
-384.426149; 331.251593
-383.894003; 330.534504
-383.364923; 329.815144
-382.838784; 329.093625
-382.315459; 328.370058
-381.794824; 327.64455
-381.276754; 326.917206
-380.761122; 326.18813
-380.247805; 325.457421
-379.736677; 324.725179
-379.227575; 323.991446
-378.720457; 323.256433
-378.215153; 322.520169
-377.711539; 321.782745
-377.209491; 321.044251
-376.708886; 320.304777
-376.209601; 319.56441
-375.711514; 318.823236
-375.214501; 318.081341
-374.718441; 317.338807
-374.22319; 316.595687
-373.728671; 315.852129
-373.234738; 315.108181
-372.741271; 314.363923
-372.248148; 313.619436
-371.755249; 312.874801
-371.262454; 312.130098
-370.769641; 311.385405
-370.27669; 310.640805
-369.783481; 309.896375
-369.289903; 309.152209
-368.795807; 308.408344
-368.301102; 307.664904
-367.805662; 306.921957
-367.309364; 306.179583
-366.812088; 305.437863
-366.313716; 304.696879
-365.814128; 303.956715
-365.313205; 303.217455
-364.810826; 302.479182
-364.306872; 301.741984
-363.801224; 301.005946
-363.293763; 300.271157
-362.78437; 299.537708
-362.272925; 298.805686
-361.759308; 298.075187
-361.243402; 297.346303
-360.725087; 296.61913
-360.204245; 295.893765
-359.680756; 295.170307
-359.154503; 294.448858
-358.625368; 293.729521
-358.093233; 293.0124
-357.557981; 292.297602
-357.019495; 291.585238
-356.47766; 290.875422
-355.932357; 290.168262
-355.383474; 289.463877
-354.830895; 288.762388
-354.274508; 288.063915
-353.7142; 287.368584
-353.14986; 286.676522
-352.58138; 285.987857
-352.008649; 285.302723
-351.431561; 284.621255
-350.850011; 283.943591
-350.263896; 283.269872
-349.673118; 282.600246
-349.07757; 281.93485
-348.47716; 281.273839
-347.871794; 280.617364
-347.26138; 279.96558
-346.64583; 279.318644
-346.02506; 278.676716
-345.398989; 278.039958
-344.767538; 277.408533
-344.130635; 276.78261
-343.48821; 276.162355
-342.840182; 275.547925
-342.186531; 274.939527
-341.527182; 274.337316
-340.862115; 273.741404
-340.191422; 273.151831
-339.515196; 272.568614
-338.833526; 271.991768
-338.146505; 271.421305
-337.454223; 270.857239
-336.756795; 270.299596
-336.054241; 269.74833
-335.346722; 269.203502
-334.634303; 268.665098
-333.917071; 268.133121
-333.195115; 267.607571
-332.468523; 267.08845
-331.737382; 266.575754
-331.001777; 266.069483
-330.261794; 265.569631
-329.517519; 265.076194
-328.769033; 264.589165
-328.016433; 264.108543
-327.259786; 263.634312
-326.499176; 263.166462
-325.734682; 262.704982
-324.966384; 262.249862
-324.194359; 261.801088
-323.418686; 261.358648
-322.639442; 260.922528
-321.856701; 260.492712
-321.070538; 260.069186
-320.281027; 259.651934
-319.488247; 259.240941
-318.692203; 258.836159
-317.893093; 258.437633
-317.090917; 258.04531
-316.285743; 257.659172
-315.477638; 257.279199
-314.66667; 256.905373
-313.852904; 256.537673
-313.036403; 256.176082
-312.217233; 255.820578
-311.395455; 255.471141
-310.571131; 255.127751
-309.744322; 254.790388
-308.915087; 254.459031
-308.083418; 254.133634
-307.249522; 253.814234
-306.413371; 253.500777
-305.575021; 253.193241
-304.734527; 252.891608
-303.891944; 252.595856
-303.047325; 252.305964
-302.200722; 252.021913
-301.352188; 251.743682
-300.501773; 251.47125
-299.649527; 251.204599
-298.795499; 250.943708
-297.939739; 250.688557
-297.082293; 250.439127
-296.223133; 250.195377
-295.362466; 249.957335
-294.500251; 249.724956
-293.636533; 249.498223
-292.771356; 249.277117
-291.904763; 249.061619
-291.036798; 248.851714
-290.167504; 248.647383
-289.296921; 248.44861
-288.42509; 248.255379
-287.552054; 248.067672
-286.67785; 247.885474
-285.802519; 247.708771
-284.9261; 247.537546
-284.048631; 247.371786
-283.17015; 247.211475
-282.290652; 247.056594
-281.410259; 246.907142
-280.528964; 246.763101
-279.646805; 246.624456
-278.763815; 246.491197
-277.880031; 246.363311
-276.995488; 246.240787
-276.11022; 246.123615
-275.224279; 246.011785
-274.337664; 245.905286
-273.450425; 245.804108
-272.562597; 245.708243
-271.674212; 245.617683
-270.785303; 245.53242
-269.895903; 245.452447
-269.006043; 245.377757
-268.115756; 245.308343
-267.225055; 245.244198
-266.33401; 245.185321
-265.442632; 245.131703
-264.550953; 245.083342
-263.659005; 245.040234
-262.766819; 245.002375
-261.874426; 244.969763
-260.981857; 244.942395
-260.089142; 244.92027
-259.196312; 244.903388
-258.303399; 244.891747
-257.410433; 244.885348
-256.517445; 244.884191
-255.624466; 244.888278
-254.731525; 244.897611
-253.838656; 244.912192
-252.945887; 244.932023
-252.053251; 244.95711
-251.160781; 244.987454
-250.268501; 245.023063
-249.376447; 245.063941
-248.48465; 245.110093
-247.593142; 245.161527
-246.701955; 245.21825
-245.811121; 245.280269
-244.920673; 245.347593
-244.030642; 245.420231
-243.141061; 245.498194
-242.251965; 245.58149
-241.363385; 245.670131
-240.475357; 245.764129
-239.587913; 245.863496
-238.701088; 245.968245
-237.814918; 246.07839
-236.929437; 246.193944
-236.044681; 246.314923
-235.160686; 246.441343
-234.277508; 246.573215
-233.395143; 246.710554
-232.513641; 246.853329
-231.633031; 247.00151
-230.753344; 247.155065
-229.874605; 247.313961
-228.996843; 247.478163
-228.120083; 247.647636
-227.244355; 247.822344
-226.369675; 248.00225
-225.496073; 248.187317
-224.623571; 248.377504
-223.752192; 248.572772
-222.881959; 248.773082
-222.012891; 248.97839
-221.14501; 249.188656
-220.278334; 249.403835
-219.412881; 249.623886
-218.548671; 249.848764
-217.685719; 250.078423
-216.824042; 250.312819
-215.963654; 250.551906
-215.10457; 250.795637
-214.246804; 251.043965
-213.390369; 251.296843
-212.535275; 251.554224
-211.681543; 251.816056
-210.829166; 252.082295
-209.978162; 252.352891
-209.12854; 252.627794
-208.280307; 252.906954
-207.433471; 253.190322
-206.588037; 253.477848
-205.744011; 253.769482
-204.901398; 254.065172
-204.060202; 254.364869
-203.220425; 254.668522
-202.382055; 254.976085
-201.545139; 255.287492
-200.70966; 255.602696
-199.875606; 255.921652
-199.042962; 256.244315
-198.211714; 256.570639
-197.381857; 256.900574
-196.553466; 257.234038
-195.726493; 257.570999
-194.900931; 257.911405
-194.076778; 258.255207
-193.254027; 258.602354
-192.432674; 258.952794
-191.612713; 259.306478
-190.794136; 259.663354
-189.976936; 260.023373
-189.161105; 260.386485
-188.346636; 260.75264
-187.533518; 261.121788
-186.721744; 261.493879
-185.911302; 261.868864
-185.102182; 262.246695
-184.294374; 262.627321
-183.487861; 263.010698
-182.682644; 263.396769
-181.878703; 263.785492
-181.076025; 264.176817
-180.274597; 264.570696
-179.474407; 264.967084
-178.675439; 265.365931
-177.87768; 265.767191
-177.081115; 266.170817
-176.28573; 266.576763
-175.491509; 266.984982
-174.698436; 267.395427
-173.906496; 267.808055
-173.115672; 268.222818
-172.325949; 268.639671
-171.537307; 269.058569
-170.749732; 269.479468
-169.963192; 269.902331
-169.177697; 270.327097
-168.393215; 270.75373
-167.609727; 271.182187
-166.827216; 271.612425
-166.045661; 272.044399
-165.265045; 272.478068
-164.485348; 272.913387
-163.706551; 273.350314
-162.928634; 273.788807
-162.151578; 274.228823
-161.375363; 274.670321
-160.599968; 275.113259
-159.825373; 275.557595
-159.051559; 276.003287
-158.278503; 276.450296
-157.506186; 276.898578
-156.734598; 277.348087
-155.963706; 277.79879
-155.193501; 278.250638
-154.423903; 278.703626
-153.65496; 279.157672
-152.886627; 279.61275
-152.118883; 280.068821
-151.351706; 280.525844
-150.585073; 280.983779
-149.818963; 281.442589
-149.053352; 281.902232
-148.28822; 282.36267
-147.523543; 282.823864
-146.759298; 283.285775
-145.995463; 283.748363
-145.232016; 284.21159
-144.468933; 284.675417
-143.706192; 285.139806
-142.943769; 285.604717
-142.181641; 286.070112
-141.419755; 286.535971
-140.658149; 287.002218
-139.896768; 287.468834
-139.135589; 287.93578
-138.374589; 288.403017
-137.613745; 288.870507
-136.853032; 289.338211
-136.092427; 289.806091
-135.331907; 290.274108
-134.571447; 290.742224
-133.811025; 291.2104
-133.050615; 291.678598
-132.290195; 292.146778
-131.52974; 292.614901
-130.769227; 293.08293
-130.008633; 293.550826
-129.247944; 294.018569
-128.487162; 294.48616
-127.726284; 294.953597
-126.965312; 295.420878
-126.204243; 295.888004
-125.443079; 296.354972
-124.681818; 296.821784
